Name,Path,Descr.,%-T,%-#,Count/mL
P2,P1\P2,,95.8,95.94,1.33E+06
LL3,P1\P2\LL3,,0.18,0.18,2.42E+03
UL3,P1\P2\UL3,,47.23,49.31,6.54E+05
UR3,P1\P2\UR3,,0.47,0.49,6.51E+03
LR3,P1\P2\LR3,,47.92,50.02,6.64E+05
LL4,P1\P2\LL4,,48.17,50.28,6.67E+05
UL4,P1\P2\UL4,,47.63,49.72,6.60E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,47.83,49.93,6.63E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,139
LR5,P1\P2\LR5,,47.96,50.06,6.64E+05
cm2015-08-16.002,cm2015-08-16.002,,100,---,1.26E+06
P1,P1,,99.8,99.8,1.26E+06
P2,P1\P2,,96.31,96.51,1.22E+06
LL3,P1\P2\LL3,,0.17,0.17,2.08E+03
UL3,P1\P2\UL3,,50.39,52.32,6.36E+05
UR3,P1\P2\UR3,,0.46,0.48,5.87E+03
LR3,P1\P2\LR3,,45.3,47.03,5.71E+05
LL4,P1\P2\LL4,,45.51,47.25,5.74E+05
UL4,P1\P2\UL4,,50.8,52.75,6.41E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,45.27,47.01,5.71E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.02,189
LR5,P1\P2\LR5,,51.02,52.98,6.44E+05
cm2015-08-16.001,cm2015-08-16.001,,100,---,1.24E+06
P1,P1,,100,100,1.24E+06
P2,P1\P2,,99.1,99.1,1.23E+06
LL3,P1\P2\LL3,,0.08,0.08,979
UL3,P1\P2\UL3,,52.5,52.97,6.49E+05
UR3,P1\P2\UR3,,0.34,0.35,4.24E+03
LR3,P1\P2\LR3,,46.18,46.6,5.71E+05
LL4,P1\P2\LL4,,46.32,46.74,5.73E+05
UL4,P1\P2\UL4,,52.79,53.26,6.53E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.05,46.47,5.69E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.03,0.03,326
LR5,P1\P2\LR5,,53.02,53.5,6.56E+05
